NAME,ADDRESS,CITY,STATE,ZIP5
"HELPING HANDS, INC.",500 Forestwood Dr,Birmingham,AL,35214
"HHDI, INC.",100 Washington St NE Ste 1,Huntsville,AL,35801
"HUNTVILLE HOUSING DEVELOPMENTS, INC",100 Washington St NE,Huntsville,AL,35801
"LIFT HOUSING, INC",701 Andrew Jackson Way NE,Huntsville,AL,35801
LIGHTHOUSE COMMUNITY DEVELOPMENT CORPORATION,9890 Tom Waller Rd,Grand Bay,AL,36541
MLK REDEVELOPMENT CORP,"957 DR. MARTIN LUTHER KING, JR AVENUE",MOBILE,AL,36603
MOBILE COMMUNITY ORGANIZATION,1801 Government St,Mobile,AL,36606
MOBILE VOLUNTEERS OF AMERICA HOME DEVELOPMENT CORPORATION,MOBILE VOLUNTEERS OF AMERICA HOME DEVELOPMENT,MOBILE,AL,36609
"MONTGOMERY COMMUNITY ACTION COMMITTEE, INC.",1066 Adams Ave,Montgomery,AL,36104
NEHEMIAH HOUSING,C/O SEASHA,TUSKEGEE,AL,36088
"NEIGHBORHOOD CONCEPTS, INC.",100 Washington St NE,Huntsville,AL,35801
"NEIGHBORHOOD HOUSING SERVICES OF BIRMINGHAM, INC",1815 11th Ave S,Birmingham,AL,35205
"NEIGHBORHOOD SERVICES, INC",1250 13th St N,Birmingham,AL,35204
NORTH ALABAMA HABITAT FOR HUMANITY,1011 Oster Dr NW,Huntsville,AL,35816
NORTHEAST ALABAMA COMMUNITY DEVELOPMENT CORPORATION,7 E 13th St,Anniston,AL,36201
ORGANIZED COMMUNITY ACTION PROGRAM,507 N 3 Notch St,Troy,AL,36081
"OZARK HOUSING PARTNERS, LTD",517 N 3 Notch St,Troy,AL,36081
"Partnership Housing of Southwest Alabama, Inc.",3712 Airport Blvd.,Mobile,AL,36608
"Partnership Housing of Southwest Alabama, Inc.",3712 Airport Blvd,Mobile,AL,36608
PINEY GROVE APARTMENTS,FIVE STAR DEV CORP,FLORENCE,AL,35631
"PRICHARD HOUSING CORP, II",PRICHARD HOUSING CORP. II,PRICHARD,AL,36610
TITUSVILLE DEVELOPMENT CORP,300 Kappa Ave S,Birmingham,AL,35205
WESTSIDE COMMUNITY DEVELOPMENT CORP.,148 22 AVENUE,TUSCALOOSA,AL,35404
"WIL-LOW NONPROFIT HOUSING CORP, INC",200 A COMMERCE STREET,HAYNEVILLE,AL,36040
YW HOMES,309 23rd St N,Birmingham,AL,35203
ARC OF ARKANSAS,2000 Main St,Little Rock,AR,72206
ARGENTA COMMUNITY DEVELOPMENT CORP,PO Box 9364,North Little Rock,AR,72119
ARKADELPHIA HOUSING GROUP,PO Box 219,Arkadelphia,AR,71923
ARKANSAS DELTA DEVELOPMENT SERVICES CDC,403 WEST 4TH STREET,FORREST CITY,AR,72335
ARKANSAS EOC INC. (FORMERLY NAMED MISSISSIPPI COUNTY),ARKANSAS EOC INC,BLYTHEVILLE,AR,72316
ARKANSAS HOUSING GROUP,903 Highway 67 S,Arkadelphia,AR,71923
ARKANSAS LAND & FARM DEVELOPMENT CORP,"ROUTE 2, BOX 291",BRINKLEY,AR,72021
"BCD-BETTER COMMUNITY DEVELOPMENT, INC.",3604 W 12th St,Little Rock,AR,72204
BETTER COMMUNITY DEVELOPMENT,4000 W 13th St,Little Rock,AR,72204
"BOST, INC.",PO Box 11495,Fort Smith,AR,72917
"BOYS, GIRLS, ADULTS COMMUNITY DEV",PO Box 1356,Marvell,AR,72366
CAMDEN/OUACHITA COUNTY CHDO,PO Box 39,Camden,AR,71711
CENTRAL LITTLE ROCK CDC,CENTRAL LITTLE ROCK CDC,LITTLE ROCK,AR,72202
CHICOT HOUSING ASSISTANCE CORP.,113 Main St,Lake Village,AR,71653
COLLEGE STATION CDC,PO Box 540,Little Rock,AR,72203
COMM ORGN POVERTY ELIMINATION,1900 Pine St,North Little Rock,AR,72114
COMMUNITY COALITION CORP,723 Garrison Ave,Fort Smith,AR,72901
COMMUNITY DEVELOPMENT CORP OF BENTONVILLE,808 N Main St,Bentonville,AR,72712
COMMUNITY LOCAL ACTION,PO Box 155,Carthage,AR,71725
"CRAWFORD-SEBASTIAN COMMUNITY DEVELOPMENT COUNCIL, INC.",4831 Armour Ave,Fort Smith,AR,72904
"CRDC-CROWLEY'S RIDGE DEVELOPMENT COUNCIL, INC",526 W Monroe Ave,Jonesboro,AR,72401
"CSCDC-CRAWFORD-SEBASTIAN COMMUNITY DEVELOPMENT COUNCIL, INC.",1617 S Zero St,Fort Smith,AR,72901
DELTA HILLS COMMUNITY HOUSING,PO Box 2578,Batesville,AR,72503
DELTA RESEARCH EDUCATION & DEVELOPMENT FOUNDATION,PO Box 2511,West Memphis,AR,72303
DOWNTOWN LITTLE ROCK CDC,PO Box 165003,Little Rock,AR,72216
EAST CENTRAL ARKANSAS ECONOMIC DEVELOPMENT CORP,PO Box 709,Forrest City,AR,72336
"ELIZABETH MCGILL CENTER, INC",PO Box 5662,Fort Smith,AR,72913
"FHA Development, Inc.",1 N School Ave,Fayetteville,AR,72701
"Fort Smith Housing Partners II, LP",1617 S Zero St,Fort Smith,AR,72901
HOMES UNITING GOOD FRIENDS,PO Box 6398,Hot Springs National Park,AR,71902
"IN AFFORDABLE HOUSING, INC",3224 Shackleford Pass,Little Rock,AR,72205
JEFFERSON COUNTY COMMUNITY DEVELOPMENT CORP.,700 S Main St,Pine Bluff,AR,71601
"JEFFERSON, LONOKE AND PULASKI HOUSING COALITION",2401 S Main St,Pine Bluff,AR,71601
LEE COUNTY COMMUNITY DEVELOPMENT CO,PO Box 1005,Marianna,AR,72360
"LEND A HAND, INC.",PO Box 811,Fort Smith,AR,72902
MCCLELLAN CDC,PO Box 192012,Little Rock,AR,72219
NEW HORIZONS CDC,PO Box 979,Fordyce,AR,71742
NEWTON COUNTY HOUSING COUNCIL,PO Box 542,Jasper,AR,72641
OSAGE TERRACE LIMITED PARTNERSHIP,808 N Main St,Bentonville,AR,72712
PINE BLUFF/JEFFERSON COUNTY,1001 S Linden St,Pine Bluff,AR,71603
PROGRESSIVE SEA HOUSING DEVELOPMENT CORP.,709 S Cherry St,Pine Bluff,AR,71601
PULASKI COUNTY NEIGHBORHOOD ALLIANCE FOR HABITAT,6700 S University Ave,Little Rock,AR,72209
PULASKI METRO INITIATIVE,2000 Main St,Little Rock,AR,72206
Regional Housing Solutions,1617 S Zero St,Fort Smith,AR,72901
SAINT FRANCIS CDC,500 S Rosser St,Forrest City,AR,72335
SE ARKANSAS CHDO,PO Box 425,Mc Gehee,AR,71654
SHERMAN PARK COMMUNITY DEVELOPMENT CORPORATION,1201 E 4th St,North Little Rock,AR,72114
SOUTH ARKANSAS COMMUNITY DEVELOPMENT,406 Clay St,Arkadelphia,AR,71923
SOUTH CENTRAL ARKANSAS COMMUNITY ACTION AUTHORITY,ACTION AUTHORITY,EL DORADO,AR,71731
SOUTH FAYETTEVILLE CDC,510 E Huntsville Rd,Fayetteville,AR,72701
SOUTH LITTLE ROCK C.D.C.,PO Box 166442,Little Rock,AR,72216
SOUTHEAST ARKANSAS C.D.C.,1203 W Pullen St,Pine Bluff,AR,71601
STONEBROOK PARK OF VAN BUREN II,207 N 38th St,Van Buren,AR,72956
"SUPPLEMENTAL RESOURCES, INC",PO Box 2568,Harrison,AR,72602
TG 101 INC. (CHDO),1655 N Lewis Ave,Fayetteville,AR,72703
UNIVERSAL HOUSING,PO Box 846,Russellville,AR,72811
UNIVERSITY DISTRICT DEVELOPMENT CORPORATION,2801 S University Ave,Little Rock,AR,72204
WOODRUFF COMMUNITY DEVELOPMENT CORP,P.O. BOX 050586,LITTLE ROCK,AR,72205
DEVELOPMENT BANK OF AMERICAN SAMOA,PO BOX 9,PAGO PAGO,AS,96799
A.R.M. OF SAVE THE FAMILY,450 W 4th Pl,Mesa,AZ,85201
AFFORDABLE ACCESSIBLE HOMES (AAH),1102 E Roberts Rd,Phoenix,AZ,85022
"AFFORDABLE HOUSING COALITION, INC",PO Box 30134,Flagstaff,AZ,86003
"Alborada Apartments, LP",504 W 29th St,Tucson,AZ,85713
"AMISTAD APARTMENTS OF SOMERTON, LP",130 NORTH STATE AVENUE,SOMERTON,AZ,85350
"ARIZONA ACORN HOUSING CORP, INC.",1018 W Roosevelt St,Phoenix,AZ,85007
AVONDALE NEIGHBORHOOD HOUSING SERVICES,811 E Riley Dr Ste 3,Avondale,AZ,85323
"BARRIO UNIDOS LAND TRUST, INC.",PO Box 5126,Tucson,AZ,85703
BOTHANDS INC.,2304 N 3rd St,Flagstaff,AZ,86004
"CHICANOS POR LA CAUSA, INC",1112 E Buckeye Rd,Phoenix,AZ,85034
COMITE DE BIENESTAR,10455 WEST B STREET,SAN LUIS,AZ,85349
COMMUNITY EXCELLENCE PROJECT,2457 E Broadway Rd,Phoenix,AZ,85040
COMMUNITY HOUSING RESURCES OF ARIZONA,500 E Thomas Rd Ste 300,Phoenix,AZ,85012
"COMPASS AFFORDABLE HOUSING, INC.",2835 N Stone Ave,Tucson,AZ,85705
COORDINATED COMMUNITY SERVICES OF ARIZONA,PO Box 1776,Chandler,AZ,85244
COPPER COMMUNITIES RESOURCE DEV INC,PO Box 507,Kearny,AZ,85137
CROSSLAND MORTGAGE,5665 N Scottsdale Rd,Scottsdale,AZ,85250
DEVELOPMENT DESIGN GROUP INC.,101 S Stone Ave,Tucson,AZ,85701
FLAGSTAFF HOUSING CORP,PO Box 1387,Flagstaff,AZ,86002
FOUNDATION FOR SENIOR LIVING,1201 E Thomas Rd,Phoenix,AZ,85014
FSL Real Estate Services,1201 E Thomas Rd,Phoenix,AZ,85014
"FSL St. Monica Villas, L.P.",1201 E Thomas Rd,Phoenix,AZ,85014
GLENDALE COMMUNITY HOUSING DEVELOPMENT CORP,6010 W Northern Ave,Glendale,AZ,85301
Guadalupe CDC,5933 E Calle Milagros,Guadalupe,AZ,85283
HABITAT FOR HUMANITY,2950 E 22nd St,Tucson,AZ,85713
Helping Hands Housing Services,3333 E Van Buren St,Phoenix,AZ,85008
HOMES FOR INDEPENDENT DISABLED,3330 N 28th St,Phoenix,AZ,85016
HOMEWARD BOUND,29 W Thomas Rd,Phoenix,AZ,85013
Housing America Corporation,PO Box 600,Somerton,AZ,85350
HOUSING OUR COMMUNITIES,PO Box 4457,Mesa,AZ,85211
INTERNATIONAL SONORAN DESERT ALLIANCE,PO Box 687,Ajo,AZ,85321
"LA FRONTERA PARTNERS, INC.",504 W 29th St,Tucson,AZ,85713
LABOR'S COMMUNITY SERVICE HOUSING,5818 N 7th St,Phoenix,AZ,85014
LOS VECINOS HOUSING DEVELOPMENT,5955 W Myrtle Ave Ste 1,Glendale,AZ,85301
"NATIVE AMERICAN CONNECTIONS, INC.",650 N 2nd Ave,Phoenix,AZ,85003
NEIGHBORHOOD HOUSING SERVICES OF PHOENIX,1405 E McDowell Rd,Phoenix,AZ,85006
NEWTOWN CDC,511 W University Dr Ste 4,Tempe,AZ,85281
NEWTOWN CDC,511 W University Dr Ste 4,Tempe,AZ,85281
OLD PUEBLO COMMUNITY FOUNDATION,8230 E Broadway Blvd Ste W8,Tucson,AZ,85710
PACT FOR LIFE,PO Box 2488,Tucson,AZ,85702
PHOENIX REVITALIZATION CORP,1242 E Washington St,Phoenix,AZ,85034
"PRIMAVERA BUILDERS, INC.",3690 S Park Ave Ste 801,Tucson,AZ,85713
PRIMAVERA FOUNDATION,735 S Stone Ave,Tucson,AZ,85701
PROJECT SHELTER,107 N Cortez St,Prescott,AZ,86301
SAFE HAVEN,2345 W Buckeye Rd,Phoenix,AZ,85009
SEAGO HOUSING & COMMUNITY DEVELOPMENT,118 Arizona St,Bisbee,AZ,85603
"SOUTHERN AZ LAND TRUST ASSOCIATES, INC.",5280 N Swan Rd,Tucson,AZ,85718
"Sunnyside Pointe Villas II, LP",504 W 29th St,Tucson,AZ,85713
"THE COMMUNITY HOUSING PARTNERSHIP, INC",PO Box 25312,Phoenix,AZ,85002
TMM FAMILY SERVICES,1550 N Country Club Rd,Tucson,AZ,85716
TUCSON INDIAN CENTER,TUCSON INDIAN CENTER,TUCSON,AZ,85702
TUCSON METROPOLITIAN MINISTRY,3127 E Adams St,Tucson,AZ,85716
TUCSON URBAN LEAGUE HOUSING CORP,2305 S Park Ave,Tucson,AZ,85713
UNITED HOUSING & EDUC DEVELOPMENT,16150 N Oracle Rd,Tucson,AZ,85739
VALLEY-COMMUNITY REVITALIZATION,1515 E Osborn Rd,Phoenix,AZ,85014
"VILLA DE FIDELIS, INC.",4506 W Citrus Way,Glendale,AZ,85301
WESTERN ARIZONA COUNCIL OF GOVERNMENTS,224 S 3rd Ave,Yuma,AZ,85364
YUMA COUNTY HOUSING DEVELOPMENT CORP,CO VALLEY NATL;#2089-7759.,PHOENIX,AZ,85038
ABODE COMMUNITIES,701 E 3rd St,Los Angeles,CA,90013
ABODE COMMUNITY HOUSING,701 E 3rd St,Los Angeles,CA,90013
"ABRAZAR, INC.",7101 Wyoming St,Westminster,CA,92683
ACCESS COMMUNITY HOUSING,1679 Jon Gilbert Ln,Beaumont,CA,92223
"Advancing Communities Together, Inc.",38626 9th St E,Palmdale,CA,93550
"AFFORDABLE HOMES, INC.",760 Mattie Rd Ste A1,Pismo Beach,CA,93449
AFFORDABLE HOUSING AFFILIATION,1400 E 2nd St,Benicia,CA,94510
AFFORDABLE HOUSING ASSOCIATES,920 Grayson St,Berkeley,CA,94710
AID EMPLOYMENT,PO Box 5003,Livermore,CA,94551
ALEXANDRIA HOUSE,426 S Alexandria Ave,Los Angeles,CA,90020
ALHAMBRA CHAPA,5744 E Creekside Ave,Orange,CA,92869
ALLIED HOUSING,40849 Fremont Blvd,Fremont,CA,94538
"ALLIED HOUSING, INC.",22245 Main St Ste 200,Hayward,CA,94541
ALMOND COURT,801 Almond Ct,Wasco,CA,93280
"ALVAREZ COURT, INC",2131 University Ave Ste 224,Berkeley,CA,94704
"AMCAL MULTI-HOUSING, INC.",30141 Agoura Rd Ste 100,Agoura Hills,CA,91301
AMERICAN FAMILY HOUSING INC,15161 Jackson St,Midway City,CA,92655
AMERICAN LODGING,15161 Jackson St,Midway City,CA,92655
"ANAHEIM SUPPORTIVE HOUSING FOR SENIOR ADULTS, INC.",6445 E Joshua Tree Ave,Orange,CA,92867
AOF/GOLDEN STATE COMMUNITY DEVELOPMENT CORP.,7777 Center Ave Ste 240,Huntington Beach,CA,92647
AOF/GOLDEN STATE COMMUNITY DEVELOPMENT CORPORATION,7755 Center Ave Ste 1100,Huntington Beach,CA,92647
"ARBOR COURT, INC",C/O EAH HOUSING,SAN RAFAEL,CA,94901
ARROYO VALLEY COMMUNITY ECONOMIC DEVELOPMENT CORPORATION,PO Box 1599,San Bernardino,CA,92402
"ASOCIACION CAMPESINA LAZARO CARDENAS, INC.",315 N San Joaquin St,Stockton,CA,95202
"ASPEN DRIVE HOUSING, INC.",2131 University Ave Ste 224,Berkeley,CA,94704
ASSOCIACION CAMPESINA LAZARO CARD.,42 N Sutter St Ste 406,Stockton,CA,95202
B.P.R.C.,70 N San Gorgonio Ave,Banning,CA,92220
"BAKERSFIELD SENIOR CENTER, INC.",530 4th St,Bakersfield,CA,93304
BASIC LIFE INSTITUTE,750 E Pine St,Compton,CA,90221
BAYVIEW COMMUNITY DEVELOPMENT CORPORATION,5100 Federal Blvd,San Diego,CA,92105
BEACON HOUSING,5000 Edenhurst Ave,Los Angeles,CA,90039
BEACON SENIOR HOUSING CORPORATION,516 Burchett St,Glendale,CA,91203
BETHLEHEM TEMPLE COMMUNITY ECONOMIC DEVELOPMENT CORPORATION,1175 W Foothill Blvd,Rialto,CA,92376
"BETTER OPPORTUNITIES BUILDER, INC.",PO Box 11863,Fresno,CA,93775
BEYOND SHELTER HOUSING,4032 Wilshire Blvd,Los Angeles,CA,90010
"BOLINAS COMMUNITY LAND TRUST, INC.",20 WHARF ROAD,BOLINAS,CA,94924
"BONIFACIO PLACE, INC.",2131 University Ave Ste 224,Berkeley,CA,94704
"BUCKELEW COMMUNITY HSG DEV. ORGANIZATION, INC.",914 Mission Ave,San Rafael,CA,94901
BURBANK HOUSING CORPORATION,1819 Grismer Ave,Burbank,CA,91504
CABRILLO ECONOMIC DEVELOPMENT CORP,11011 Azahar St,Saticoy,CA,93004
CABRILLO ECONOMIC DEVELOPMENT CORPORATION,702 County Square Dr,Ventura,CA,93003
CARITAS HOUSING CORPORATION,195 E San Fernando St,San Jose,CA,95112
CARITIES HOUSING DEVELOPMENT CORPORATION,195 E San Fernando St,San Jose,CA,95112
"CASA FAMILIAR, INCORPORATED",119 W Hall Ave,San Ysidro,CA,92173
CATHOLIC CHARITIES,150 E Olive St,Colton,CA,92324
CEDAR STREET APARTMENTS,2686 Spring St,Redwood City,CA,94063
CENTRAL CITY LUTHERAN MISSION,1354 N G St,San Bernardino,CA,92405
"CENTRAL COAST HOUSING, INC.",609 Pacific Ave,Santa Cruz,CA,95060
"CENTRAL COAST HOUSING, INC.",3120 Freeboard Dr Ste 202,West Sacramento,CA,95691
CENTRAL COMMUNITY DEVELOPMENT CENTER,211 S Barton Ave,Fresno,CA,93702
CENTRAL VALLEY CHRISTIAN HSG DEV CORP,525 W Center Ave Ste B,Visalia,CA,93291
CENTRAL VALLEY COALITION FOR AFFORDABLE HSG,3339 M St,Merced,CA,95348
CHAPA- COMMUNITY HOUSING ASSISTANCE PROGRAM INC.,3803 E Casselle Ave,Orange,CA,92869
CHARITIES HOUSING DEVELOPMENT,1400 Parkmoor Ave Ste 190,San Jose,CA,95126
CHARITIES HOUSING DEVELOPMENT CORPORATION,195 E San Fernando St,San Jose,CA,95112
CHARTER HOUSE,1108 E Bennett St,Compton,CA,90221
CHICANO FEDERATION OF SAN DIEGO COUNTY,610 22nd St,San Diego,CA,92102
CHINATOWN COMMUNITY DEVELOPMENT CTR.,1525 Grant Ave,San Francisco,CA,94133
CHRISTMAS IN APRIL,711 A Ave,National City,CA,91950
CHRISTMAS IN APRIL POMONA,211 S East End Ave,Pomona,CA,91766
CITY HEIGHTS COMMUNITY DEVELOPMENT CORP,4252 University Ave,San Diego,CA,92105
CIVIC CENTER BARRIO HOUSING CORP,431 S Bristol St,Santa Ana,CA,92703
Coachella Valley Housing Coalition,45701 Monroe St Ste G,Indio,CA,92201
COLETTE'S CHILDREN HOME,17301 Beach Blvd,Huntington Beach,CA,92647
COMMISSION ON HUMAN CONCERNS,621 Richmond Ave,Oxnard,CA,93030
COMMTY HOUSING IMPROV. SYS. & PLAN ASSO,295 Main St,Salinas,CA,93901
COMMUNITIES CLAIMING OWNERSHIP AND PRIDE (CROP),770 L St Ste 1230,Sacramento,CA,95814
"COMMUNITY ACTION AGENCY OF BUTTE CO., INC.",2255 Del Oro Ave,Oroville,CA,95965
COMMUNITY CORPORATION OF SANTA MONICA,1351 3rd Street Promenade Ste 206,Santa Monica,CA,90401
"COMMUNITY HOMES, INCORPORATED (CHI)",PO Box 7653,Redlands,CA,92375
COMMUNITY HOUSING CORP,11 E Haley St,Santa Barbara,CA,93101
COMMUNITY HOUSING DEVELOPERS,"55 NORTH MARKET STREET, #290",SAN JOSE,CA,95110
COMMUNITY HOUSING DEVELOPMENT CORP,1458 Filbert St,Richmond,CA,94801
Community Housing Development Corporation,1535 Fred Jackson Way Ste A,Richmond,CA,94801
COMMUNITY HOUSING IMPROVEMENT PROGRAM,1001 Willow St,Chico,CA,95928
COMMUNITY HOUSING PARTNERSHIP,1010 Market St,San Francisco,CA,94102
"COMMUNITY HOUSING RESOURCES, INC.",17701 Cowan Ste 200,Irvine,CA,92614
COMMUNITY HOUSING SONOMA COUNTY,144 S E St,Santa Rosa,CA,95404
COMMUNITY HOUSING WORKS,1820 S Escondido Blvd,Escondido,CA,92025
Community Housing Works,2815 Camino Del Rio S Ste 350,San Diego,CA,92108
COMMUNITY HSG OPPORTUNITY CORP,1490 Drew Ave Ste 160,Davis,CA,95618
COMMUNITY RESOURCE PROJECT,250 Harris Ave Ste 6,Sacramento,CA,95838
COMMUNITY REVITALIZATION AND DEVELOPMENT CORPORATION (CRDC),PO Box 990490,Redding,CA,96099
COMMUNITY SERVICES EMPLOYMENT TRAINING,312 NW 3rd Ave,Visalia,CA,93291
COMMUNTIY HSG DEV CORP OF SANTA ROSA,13412 Chalk Hill Rd,Healdsburg,CA,95448
"COMPREHENSIVE CHILD DEVELOPMENT, INC.",2545 Pacific Ave,Long Beach,CA,90806
CONCERNED CITIZENS OF SO. CENTRAL,4707 S Central Ave,Los Angeles,CA,90011
CORPORATION FOR AFFORDABLE COMMUNITY HOUSING,195 Harvey West Blvd,Santa Cruz,CA,95060
CORRIDOR ECONOMIC DEVELOPMENT CORP,4340 11th Ave,Los Angeles,CA,90008
CROSSROADS,4455 W 126th St,Hawthorne,CA,90250
CrossRoads to Housing,PO Box 72231,Los Angeles,CA,90002
CRSP,3551 White House Pl,Los Angeles,CA,90004
CURRY TEMPLE COMMUNITY DEVELOPMENT CORP,1001 N Hickory Ave,Compton,CA,90220
DAVIS MUTUAL HOUSING ASSN.,516 Rutgers Dr,Davis,CA,95616
"DAVIS SENIOR HOUSING COOPERATIVE, INC.",123 El Cajon Ave,Davis,CA,95616
DECRO ALPHA CORP,446 S Anaheim Hills Rd,Anaheim Hills,CA,92807
DECRO EPSILON,446 S Anaheim Hills Rd,Anaheim,CA,92807
DECRO GAMMA CORPORATION,446 S Anaheim Hills Rd,Anaheim,CA,92807
"DESARROLLO LATINO-AMERICANO, INC.",1214 I St,Modesto,CA,95354
DESERT MANNA,PO Box 1941,Barstow,CA,92312
DESIGN CENTER DEVELOPMENT CORPORATION,701 E 3rd St,Los Angeles,CA,90013
"DUBLIN & MARCUS, LLC",2169 Francisco Blvd E Ste B,San Rafael,CA,94901
"Dublin Transit EAH, Inc",22 Pelican Way,San Rafael,CA,94901
DUNBAR ECONOMIC DEVELOPMENT CORP,4225 S Central Ave,Los Angeles,CA,90011
"DWIGHT WAY HOUSING, INC.",2131 University Ave Ste 224,Berkeley,CA,94704
"EAH BAY AREA COMMUNITY, LLC","C/O EAH, INC",SAN RAFAEL,CA,94901
EAST BAY ASIAN LOCAL DEV. CORP.,310 8th St Ste 200,Oakland,CA,94607
EAST LOS ANGELES COMMUNITY CORP,2201 E 1st St,Los Angeles,CA,90033
EAST PALO ALTO COMMUNITY,2369 University Ave,East Palo Alto,CA,94303
"ECOLOGY HOUSE, INC",2169 Francisco Blvd E,San Rafael,CA,94901
"EDEN DEVELOPMENT, INC.",22645 Grand St,Hayward,CA,94541
EDEN Housing Inc.,22645 Grand St,Hayward,CA,94541
"Eden South Bay, Inc.",22645 Grand St,Hayward,CA,94541
EL CAJON COMMUNITY DEVELOPMENT CORPORATION,168 E Main St,El Cajon,CA,92020
EL MONTE YOUTH DEVELOPMENT CENTER,3800 Penn Mar Ave,El Monte,CA,91732
EL PUEBLO UNIDO NEIGHBORHOOD,PO Box 20328,Oxnard,CA,93034
"EMERGENCY HOUSING CONSORTIUM, INC",2011 Little Orchard St,San Jose,CA,95125
EPISCOPAL HOUSING ALLIANCE,840 Echo Park Ave,Los Angeles,CA,90026
ESPERANZA COMMUNITY HOUSING CORP,621 W Adams Blvd,Los Angeles,CA,90007
ESPERANZA HOUSING & COMMUNITY DEVELOPMENT CORP,990 Highland Dr,Solana Beach,CA,92075
EYE COUNSELING & CRISIS SERVICES,200 N Ash St,Escondido,CA,92027
FAITH BASED COMMUNITY DEVELOPMENT COMMISSION,127 Main St,Vista,CA,92084
FAITH BASED COMMUNITY HOUSING CORP,430 Murphy Ave,Sebastopol,CA,95472
FAMILIES FORWARD,9221 Irvine Blvd,Irvine,CA,92618
"FAMILY APARTMENTS, INC",1110 Adams St,Saint Helena,CA,94574
FAMILY EMERGENCY SHELTER COALITION,22245 Main St Ste 104,Hayward,CA,94541
